ลำดับที่,Year,Month,Brand,"<=2,000 CC.",">2,000 CC.",BEV,Not Specific,Total
1,2022,,ALFA ROMEO,3,0,0,0,3
2,2022,,ASIA CAB,0,50,0,0,50
3,2022,,ASTON MARTIN,0,6,0,0,6
4,2022,,AUDI,489,96,18,0,603
5,2022,,BENTLEY,0,76,0,0,76
6,2022,,BENZ,0,0,0,0,0
7,2022,,BIZ NEX,1,0,52,0,52
8,2022,,BMW,"5,034",601,83,0,"5,718"
9,2022,,BYD,0,0,44,0,44
10,2022,,CHEVROLET,24,44,0,0,68
11,2022,,DAIHATSU,19,0,0,0,19
12,2022,,DFSK,14,0,0,0,14
13,2022,,FERRARI,0,31,0,0,31
14,2022,,FIAT,0,2,0,0,2
15,2022,,FOMM,0,0,11,0,11
16,2022,,FORD,"5,628","10,446",10,0,"16,084"
17,2022,,FOTON,0,48,0,0,48
18,2022,,HAVAL,"3,379",0,0,0,"3,379"
19,2022,,HINO,0,252,0,1,253
20,2022,,HONDA,"45,559","1,733",2,0,"47,294"
21,2022,,HYUNDAI,26,"1,696",0,0,"1,722"
22,2022,,ISUZU,"68,490","20,067",0,7,"88,564"
23,2022,,JAGUAR,2,0,1,0,3
24,2022,,JEEP,18,21,0,0,39
25,2022,,JMC,0,0,0,2,2
26,2022,,KIA,1,677,0,0,678
27,2022,,KYBURZ,0,0,1,0,1
28,2022,,LAMBORGHINI,0,23,0,0,23
29,2022,,LAND ROVER,48,3,0,0,51
30,2022,,LEXUS,47,256,2,0,305
31,2022,,MASERATI,6,11,0,0,17
32,2022,,MAXUS,0,3,0,0,3
33,2022,,MAZDA,"16,755",879,0,0,"17,634"
34,2022,,MCLAREN,0,10,0,0,10
35,2022,,MERCEDES BENZ,"5,243",734,0,0,"5,977"
36,2022,,MESSERSCHMITT,1,0,0,0,1
37,2022,,MG,"14,000",10,367,0,"14,375"
38,2022,,MINI,478,0,81,0,559
39,2022,,MITSUBISHI,"9,834","14,718",0,0,"24,552"
40,2022,,MUV,2,0,50,0,50
41,2022,,NISSAN,"9,177","4,577",29,0,"13,783"
42,2022,,Not Identify,0,0,0,0,0
43,2022,,Not Identify,0,0,0,0,0
44,2022,,ORA,0,0,902,0,902
45,2022,,Others,3,0,2,0,5
46,2022,,PEUGEOT,277,0,0,0,277
47,2022,,PORSCHE,73,547,113,0,733
48,2022,,PROTON,0,0,0,0,0
49,2022,,ROLLS-ROYCE,0,12,0,0,12
50,2022,,SCANIA,0,2,0,0,2
51,2022,,SHINERAY,1,0,0,0,1
52,2022,,SMART,0,0,2,0,2
53,2022,,SOKON,47,0,0,0,47
54,2022,,SRTT TUK TUK,3,0,0,0,2
55,2022,,SUBARU,"1,011",27,0,0,"1,038"
56,2022,,SUMOTA,9,0,0,0,9
57,2022,,SUZUKI,"11,454",0,0,0,"11,454"
58,2022,,TATA,0,5,0,0,5
59,2022,,TESLA,0,0,149,0,149
60,2022,,THAI TUK TUK,2,0,0,0,2
61,2022,,TOYOTA,"41,646","87,471",0,24,"129,141"
62,2022,,TUK TUK FACTORY,0,0,0,0,0
63,2022,,UD TRUCK,0,2,0,0,2
64,2022,,VOLKSWAGEN,88,0,1,0,89
65,2022,,VOLVO,965,0,342,0,"1,307"
66,2022,,WULING,0,0,7,0,7
,,,รวม,"239,857","145,136","2,269",34,"387,290"
